Case ID,Name,Age,Gender,Last Seen Location,Last Seen Date,Status,Contact Officer
MP2025046,Kenneth Lewis,8,Female,"West David, IA",2025-02-09,Missing,Ofc. Downs
MP2025047,Gregory Wheeler,39,Female,"Stokesside, CT",2025-02-13,Missing,Det. Hawkins
MP2025048,Lisa Gonzalez,14,Male,"North Kimberlyton, DE",2025-05-01,Missing,Ofc. Barrett
MP2025049,Daniel Cummings,17,Female,"North Amandaberg, OK",2025-02-11,Missing,Ofc. Porter
MP2025050,Victoria Carter,45,Female,"East Cody, SD",2025-02-04,Missing,Det. Wells
MP2025051,Karen Cox,82,Female,"Barronport, WV",2025-04-16,Found,Ofc. Lee
MP2025052,Marissa Morris,79,Male,"Mikeborough, ID",2025-03-15,Missing,Det. Hunter
MP2025053,Karen Flores,28,Female,"East Carolynburgh, CA",2025-02-17,Found,Det. Rodriguez
MP2025054,Mr. Jesus Chang,22,Female,"Gregorymouth, NM",2025-03-11,Missing,Ofc. Jones
MP2025055,Timothy Jones,21,Male,"Michellemouth, NY",2025-03-31,Found,Det. Young
MP2025056,Michelle Newman,46,Female,"Port Eric, AL",2025-02-03,Found,Det. Torres
MP2025057,Katie Montoya,54,Male,"Lake Robert, AR",2025-03-04,Missing,Det. Strickland
MP2025058,Mary Gallagher,18,Female,"Molinaton, IA",2025-05-03,Missing,Ofc. Shah
MP2025059,Larry Ford,49,Female,"Lowerychester, MT",2025-02-27,Found,Ofc. Young
MP2025060,Cody Lopez,62,Male,"Brianville, WY",2025-02-08,Missing,Ofc. Torres
MP2025061,Emma Cohen,83,Female,"New Caitlinberg, MA",2025-02-18,Found,Det. Park
MP2025062,Kathryn Tyler,33,Male,"North Hayleyville, CA",2025-02-01,Missing,Ofc. Moore
MP2025063,Traci Velez,15,Female,"East Kyle, NV",2025-03-03,Missing,Ofc. Sparks
MP2025064,Sandra Myers,28,Male,"North Dakotamouth, IL",2025-03-22,Missing,Det. Watson
MP2025065,Christopher Cruz,78,Male,"Jonesview, OR",2025-03-16,Missing,Det. Hill
MP2025066,Dr. Laura Caldwell MD,7,Male,"West Richardborough, OK",2025-02-08,Missing,Det. Pacheco
MP2025067,Dr. Cathy Collins DDS,47,Female,"Lake Joshua, MO",2025-03-03,Missing,Det. Williams
MP2025068,Margaret Howard,83,Female,"Dylanview, GA",2025-04-23,Found,Det. Rodriguez
MP2025069,Benjamin Fernandez,57,Male,"Gillmouth, MI",2025-04-04,Found,Det. Colon
MP2025070,Andrew Davis,48,Male,"West Michael, AL",2025-03-26,Missing,Ofc. Thomas
MP2025071,Barbara Neal,70,Male,"New Michael, DE",2025-03-09,Missing,Ofc. Lewis
MP2025072,Terrance Hanson,33,Female,"West Casey, RI",2025-03-31,Missing,Ofc. Carter
MP2025073,David Adams,17,Male,"Rodriguezville, OK",2025-04-28,Missing,Ofc. Newman
MP2025074,Eric White,11,Male,"Kimberlyview, AK",2025-04-23,Missing,Det. Carter
MP2025075,Stephen Whitney,32,Male,"Staceybury, SD",2025-02-11,Missing,Det. Gregory
MP2025076,Isaac Alvarez,25,Female,"Smithchester, ID",2025-03-27,Missing,Det. Lang
MP2025077,Lori Rojas,12,Male,"South Davidtown, IN",2025-04-12,Missing,Ofc. Chandler
MP2025078,Robert Jones,65,Male,"Davisview, DC",2025-03-02,Missing,Det. Lawrence
MP2025079,Sarah Jensen,72,Male,"North Stevefort, CT",2025-03-23,Missing,Det. Brown
MP2025080,Ian Morales,68,Female,"South Todd, NH",2025-04-23,Found,Det. Wiley
MP2025081,Jeremy Schmidt,58,Female,"New Laura, OH",2025-02-09,Missing,Det. Johnson
MP2025082,Emily Hamilton,46,Male,"Boltonburgh, KS",2025-02-14,Missing,Det. Gomez
MP2025083,Brittany Lopez,25,Male,"Dawsonbury, MS",2025-05-02,Found,Ofc. Jenkins
MP2025084,Shane Powell,35,Male,"North Caroline, NC",2025-04-05,Missing,Det. Montes
MP2025085,Emily Smith,7,Female,"Baldwinville, CA",2025-02-25,Missing,Det. Roberts
MP2025086,Alexandra Anderson,85,Male,"New Zacharyfurt, PA",2025-02-26,Missing,Ofc. Le
MP2025087,William Vaughn,58,Female,"South Sandra, AK",2025-02-10,Missing,Det. Martin
MP2025088,David Norris,42,Male,"East Kathleen, ID",2025-04-09,Missing,Det. Gordon
MP2025089,Cynthia Day,62,Male,"South Natalieburgh, CT",2025-03-06,Missing,Ofc. Johnson
MP2025090,Christopher Mcneil,68,Male,"West Jillton, MT",2025-03-04,Found,Ofc. Powers
MP2025091,Miguel Graham,80,Female,"Shawnfurt, NJ",2025-03-18,Missing,Ofc. Long
MP2025092,Lance Compton,65,Male,"Port Maryland, IA",2025-04-14,Missing,Det. Heath
MP2025093,Kyle Davis,5,Male,"Randalltown, ND",2025-02-08,Missing,Det. Murphy
MP2025094,Anna Huynh,16,Female,"Edwardsland, NJ",2025-02-19,Missing,Ofc. Downs
MP2025095,Robert Chen,46,Female,"Lisaport, OR",2025-02-26,Missing,Ofc. Smith
MP2025096,Michelle Williams,5,Male,"North Williamton, GA",2025-02-13,Missing,Ofc. Robinson
MP2025097,Misty Salazar,74,Male,"Teresatown, LA",2025-02-15,Found,Ofc. Fletcher
MP2025098,Kimberly Smith,41,Male,"East Shawn, NJ",2025-02-27,Missing,Det. Rhodes
MP2025099,Sarah Robinson,27,Female,"New Michael, IL",2025-02-02,Missing,Ofc. Smith
MP2025100,Patricia Jones,5,Male,"Michaelside, OK",2025-04-26,Missing,Ofc. Rogers
MP2025101,Paul Flores,21,Male,"Port Valerieborough, PA",2025-02-04,Missing,Det. Scott
MP2025102,Luis Coffey,64,Male,"Port Vickieville, IN",2025-04-19,Missing,Ofc. Briggs
MP2025103,Alexandra Gill,65,Male,"Lake Kevin, FL",2025-04-15,Missing,Det. Smith
MP2025104,Mindy Taylor,42,Male,"North Diane, CA",2025-03-03,Found,Det. Baird
MP2025105,Debra Taylor,26,Male,"East Anthony, VT",2025-04-02,Missing,Ofc. Neal
MP2025106,Donna Rogers,41,Male,"New William, TX",2025-04-26,Missing,Ofc. Navarro
MP2025107,Tyler Wilson,67,Male,"Emilyview, NC",2025-04-12,Missing,Det. Hendricks
MP2025108,Dakota Floyd,53,Female,"New Frederick, MT",2025-02-03,Missing,Ofc. Baker
MP2025109,Kelly Sims,68,Female,"New Jason, KY",2025-03-11,Missing,Ofc. Hopkins
MP2025110,Jonathan Thompson Jr.,52,Male,"New Emily, UT",2025-03-17,Missing,Det. Schmidt
MP2025111,Alan Miller,31,Male,"Jamestown, NV",2025-03-02,Missing,Ofc. Wilson
MP2025112,Michael Russell,15,Male,"Thomasville, LA",2025-02-02,Missing,Det. Murphy
MP2025113,Jeremy Rodriguez,82,Female,"Vegahaven, ME",2025-03-04,Missing,Det. Roberson
MP2025114,Ricardo Brown,81,Male,"Trevorfurt, VA",2025-04-02,Missing,Ofc. Scott
MP2025115,Nicole Brennan,39,Male,"Scottmouth, ND",2025-04-02,Missing,Ofc. Cortez
MP2025116,Aaron Allison,66,Male,"Lauraberg, DE",2025-03-20,Found,Det. Wallace
MP2025117,Brenda Bryan,31,Male,"Harrismouth, OH",2025-04-14,Missing,Ofc. Peters
MP2025118,Aaron Wilson,8,Male,"Port Richard, OR",2025-03-27,Missing,Det. Underwood
MP2025119,Christian Rogers,32,Female,"Port Paulport, GA",2025-03-18,Missing,Det. Dunn
MP2025120,James Brown,74,Male,"New Mikeberg, IA",2025-02-19,Found,Ofc. Melendez
